Date,Set #,Name,Tribe,# of Abilities,Description,Start,Stop,Ref,Featured Tags
03/01/22,SINC-03,SinCity Booster 1,Dark,3,"Disrupt Unit. Lockdown self capture, damage, and drain.",96,98,abilities!H96:M98,"cost-double,cost-high,cost-single,damage,on-capture,paralyzed,sacrifice-self,set-equip,withering"
03/01/22,SCJE-01,SoulCard Jezebel Upgrade,Dark,3,,99,101,abilities!H99:M101,"capture,control-change,cost-double,cost-high,drain,on-capture"
07/01/22,SCIR-01,SoulCard Iris Upgrade,Dark,3,,102,104,abilities!H102:M104,"capture-end,control-change,cost-double,on-capture,sacrifice-grave"
07/01/22,ROSE-01,Rosebud Set 1 Petra,Justice,3,"Bruiser unit. Forces battles, negates damage, and boosts self.",105,107,abilities!H105:M107,"cost-double,cost-single,force-battle,negate-damage,on-battle,on-damage,power-gain,set-equip"
07/01/22,ROSE-02,Rosebud Set 2 Nero,Justice,3,"Disrupt unit. Negates tactics, paralyzes, and ups enemy costs.",108,110,abilities!H108:M110,"add-cost,cost-double,cost-triple,negate-ability,on-targeted,paralyzed,set-equip,set-field"
07/01/22,ROSE-03,Rosebud Set 3 Anemo,Justice,3,"Support unit. Buffs field, retargets tactics, and adds charge.",111,113,abilities!H111:M113,"add-charge,cost-double,cost-single,cost-triple,count-tribe,on-targeted,power-gain,retarget,set-field,until-end-of-turn"
07/01/22,ROSE-04,Rosebud Set 4 Fotia,Justice,3,"Killer unit. Direct damage, destruction, power gain on destroy.",114,116,abilities!H114:M116,"cost-double,cost-single,damage,destroy-unit,on-destroy,power-gain,power-limit,set-equip"
07/01/22,ROSE-05,Rosebud Set 4 Kosmo,Justice,3,"Battery Fusion unit. Add charge, direct damage, add invincible.",117,119,abilities!H117:M119,"add-charge,cost-double,cost-fusion,cost-triple,damage,invincible,sacrifice-unit,set-field,withering"
,,,None,1,,,,-,-
,,,None,1,,,,-,-
,,,None,1,,,,-,-
