Index,Cost Rank,Style,Summon Rank,Rarity,Text,Tags 1,Tags 2,Tags 3,Tags 4,Tags 5,Tags
26,Single,Build,Regular,Common,"Spend a single, sacrifice this unit. A target unit with the sacrifice's type gets +X where X is the sacrifice's power.",sacrifice-unit,power-gain,,,,"sacrifice-unit,power-gain"
27,Single,Build,Regular,Common,"Spend a single. Set an equip token with ""This unit gets +1 power for each other unit with this type you control.""",set-equip-token,power-gain,,,,"set-equip-token,power-gain"
28,Single,Build,Regular,Common,"Spend a single. Set an equip token with ""Before this unit battles, unit drains 1 power from the target of the battle.""",set-equip-token,drain,,,,"set-equip-token,drain"
29,Single,Build,Regular,Rare,"Spend a single, spend 2 shield power. Set an equip token with ""This unit gets +2 power and haste.""",sacrifice-shield,set-equip-token,haste,power-gain,,"sacrifice-shield,set-equip-token,haste,power-gain"
30,Trigger,Build,Regular,Uncommon,"When summoning, spend a single, sacrifice this unit. Add the power of the sacrifice to the summoned unit.",on-set-unit,sacrifice-unit,power-gain,,,"on-set-unit,sacrifice-unit,power-gain"
31,Single,Build,Regular,Common,"Spend a single, spend 3 shield power, target a unit you control. Target unit changes to this type and gets +2 power.",type-change,power-gain,,,,"type-change,power-gain"
32,Double,Build,Regular,Common,Spend a double. Draw 2 dice.,draw,,,,,draw
33,Double,Build,Regular,Common,Spend a double. Set one 2 power unit with this type.,set-unit,,,,,set-unit
34,Double,Build,Regular,Common,Spend a double. Set one 3 power typeless unit.,set-unit,,,,,set-unit
35,Double,Build,Regular,Common,Spend a double. Set two 1 power typeless units.,set-unit,,,,,set-unit
36,Triple,Build,Regular,Common,Spend a triple. Target unit gets +5 power.,power-gain,,,,,power-gain
37,Single,Build,Regular,Common,Spend a single. Target unit gets -1 power.,power-loss,,,,,power-loss
38,Double,Build,Regular,Common,"Spend a double. Target unit gains +2 power, and has Reinforcing attacks until end of turn.",power-gain,reinforce,,,,"power-gain,reinforce"
39,Double,Build,Regular,Common,"Spend a double, target a unit. Target unit changes to this type and gets +2 power.",type-change,power-gain,,,,"type-change,power-gain"
40,Other,Build,Regular,Common,Spend 4 shield power. Set one 3 power typeless unit.,sacrifice-shield,set-unit,,,,"sacrifice-shield,set-unit"
41,Other,Build,Regular,Common,Spend 4 shield power. You may summon an additional time this turn.,sacrifice-shield,add-summon,,,,"sacrifice-shield,add-summon"
42,Other,Build,Regular,Common,Banish 4 dice from your grave. Set one 3 power typeless unit.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
43,Other,Build,Regular,Common,Banish 4 dice from your grave. Set three 1 power typeless units.,sacrifice-grave,set-unit,,,,"sacrifice-grave,set-unit"
44,Other,Build,Regular,Common,Banish 4 dice from your grave. You may summon an additional time this turn.,sacrifice-grave,add-summon,,,,"sacrifice-grave,add-summon"
45,Other,Build,Regular,Common,Banish 4 dice from your grave. This unit gets +3 power.,sacrifice-grave,power-gain,,,,"sacrifice-grave,power-gain"
46,Other,Build,Ritual,Common,"Ritual, discard 1. Summon this unit at full die value.",discard,power-gain,,,,"discard,power-gain"
47,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When a unit with this type enters the field, this unit gets +1 power.",discard,on-type-enter,power-gain,,,"discard,on-type-enter,power-gain"
48,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When a unit with this type enters the field, draw a die.",discard,on-type-enter,draw,,,"discard,on-type-enter,draw"
49,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When a unit with this type enters the field, set an additional typeless unit with 1 power.",discard,on-type-enter,set-unit,,,"discard,on-type-enter,set-unit"
50,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When you activate an ability, this unit gets +1 power.",discard,on-ability-start,power-gain,,,"discard,on-ability-start,power-gain"
51,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When you gain shield power, this unit gets +1 power.",discard,on-shield-gain,power-gain,,,"discard,on-shield-gain,power-gain"
52,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit is destroyed, set 1 energy token with a random value.",discard,on-unit-destroyed,set-energy-token,,,"discard,on-unit-destroyed,set-energy-token"
53,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit is destroyed, you may charge an additional time on your next turn.",discard,on-unit-destroyed,add-charge,,,"discard,on-unit-destroyed,add-charge"
54,Double,Build,Regular,Common,"Spend a double, target a unit you control. Target unit changes to this type and gets +3 power.",type-change,power-gain,,,,"type-change,power-gain"
55,Double,Build,Regular,Common,"Spend a double, sacrifice an equip token. Set a 3 power unit with the same type as the sacrifice.",sacrifice-equip,set-unit,,,,"sacrifice-equip,set-unit"
56,Triple,Build,Regular,Common,Spend a triple. Set one 4 power unit with this type.,set-unit,,,,,set-unit
57,Triple,Build,Regular,Common,Spend a triple. Set one 6 power typeless unit.,set-unit,,,,,set-unit
58,Triple,Build,Regular,Common,Spend a triple. Set two 2 power typeless units.,set-unit,,,,,set-unit
59,Triple,Build,Regular,Common,Spend a triple. Set three 1 power typeless units.,set-unit,,,,,set-unit
60,Double,Build,Regular,Common,Spend a double. Target unit gets -2 power.,power-loss,,,,,power-loss
61,Triple,Build,Regular,Common,Spend a triple. Target unit gets -5 power.,power-loss,,,,,power-loss
62,Double,Build,Regular,Common,"Spend a double. Target unit gains +2 power, and has Draining attacks until end of turn.",power-gain,drain,,,,"power-gain,drain"
63,Triple,Build,Regular,Common,"Spend a triple, target a unit. Target unit changes to this type and gets +2 power.",type-change,power-gain,,,,"type-change,power-gain"
64,Triple,Build,Regular,Common,"Spend a triple, target a unit you control. Target unit changes to this type and gets +3 power.",type-change,power-gain,,,,"type-change,power-gain"
65,Triple,Build,Regular,Common,"Spend a triple. Set a field token with ""You may summon an additional time per turn.""",set-field-token,add-summon,,,,"set-field-token,add-summon"
66,Triple,Build,Regular,Common,"Spend a triple. Set a field token with ""You may charge an additional time per turn.""",set-field-token,add-charge,,,,"set-field-token,add-charge"
67,Triple,Build,Regular,Common,"Spend a triple. Set a field token with ""You draw 4 dice in your draw phase.""",set-field-token,draw,,,,"set-field-token,draw"
68,Triple,Build,Regular,Common,"Spend a triple. Set a field token with ""All units on the field are this type.""",set-field-token,type-change,,,,"set-field-token,type-change"
69,Single,Crush,Regular,Common,Spend a single. Destroy a target equip token.,destroy-equip-token,,,,,destroy-equip-token
70,Single,Crush,Regular,Common,Spend a single. Destroy a target unit with 2 or less power.,destroy-unit,,,,,destroy-unit
71,Single,Crush,Regular,Common,"Spend a single, target a unit. Set an equip token with ""This unit is considered removed from the field. It cannot target or be targeted.""",set-equip-token,remove-unit,,,,"set-equip-token,remove-unit"
72,Single,Crush,Regular,Common,Spend a single. Destroy the unit with the lowest power on the field.,destroy-unit,,,,,destroy-unit
73,Single,Crush,Regular,Common,Spend a single. Sacrifice a target unit you control with less power than this unit. Add target's power to this unit.,sacrifice-unit,power-gain,,,,"sacrifice-unit,power-gain"
74,Single,Crush,Regular,Common,"Spend a single. Set an equip token with ""This unit has Haste,"" on a target unit.",set-equip-token,haste,,,,"set-equip-token,haste"
75,Single,Crush,Regular,Common,"Spend a single. Set an equip token with ""This unit has Piercing,"" on a target unit.",set-equip-token,piercing,,,,"set-equip-token,piercing"
76,Single,Crush,Regular,Common,"Spend a single, target a token. Remove token from field and set one 2 power typeless unit under the owner's control.",remove,set-unit,,,,"remove,set-unit"
77,Single,Crush,Regular,Common,"Spend a single, spend 2 shield power. This unit has unblockable until end of turn.",sacrifice-shield,unblockable,,,,"sacrifice-shield,unblockable"
78,Other,Crush,Regular,Common,Banish 3 dice from your grave. Deal 2 damage to target.,sacrifice-grave,direct-damage,,,,"sacrifice-grave,direct-damage"
79,Double,Crush,Regular,Common,Spend a double. Destroy a target unit.,destroy-unit,,,,,destroy-unit
80,Double,Crush,Regular,Common,Spend a double. Destroy a target token.,destroy,,,,,destroy
81,Double,Crush,Regular,Common,Spend a double. Destroy all typeless units.,destroy-unit,,,,,destroy-unit
82,Double,Crush,Regular,Common,Spend a double. Destroy all units with 2 or less power.,destroy-unit,,,,,destroy-unit
83,Single,Crush,Regular,Common,Spend a single. Deal 2 damage to a target unit or shield.,direct-damage,,,,,direct-damage
84,Double,Crush,Regular,Common,Spend a double. Target player must discard 2 dice from their hand.,discard,,,,,discard
85,Single,Crush,Regular,Common,Spend a single. This unit battles a target unit you don't control.,force-battle,,,,,force-battle
86,Double,Crush,Regular,Common,Spend a double. This unit has double-strike until end of turn.,double-strike,,,,,double-strike
87,Other,Crush,Ritual,Uncommon,"Ritual, discard 1. After this unit battles, it gets +1 power.",discard,on-battle,power-gain,,,"discard,on-battle,power-gain"
88,Other,Crush,Ritual,Uncommon,"Ritual, discard 1. After this unit destroys another unit in battle, it gets +2 power.",discard,on-unit-destroyed,power-gain,,,"discard,on-unit-destroyed,power-gain"
89,Other,Crush,Ritual,Uncommon,"Ritual, discard 1. When a unit with greater power than this unit enters the field, this unit gets +1 power.",discard,on-set-unit,power-gain,,,"discard,on-set-unit,power-gain"
90,Other,Crush,Ritual,Uncommon,"Ritual, discard 1. When this unit destroys a unit by battle, set 1 typeless unit with power equal to the destroyed unit.",discard,on-unit-destroyed,set-unit,,,"discard,on-unit-destroyed,set-unit"
91,Trigger,Crush,Regular,Common,"When this unit's power is 4 or more, it has double-strike.",on-power-condition,double-strike,,,,"on-power-condition,double-strike"
92,Double,Crush,Regular,Common,"Spend a double, target a unit you don't control. Gain control of target unit until end of turn.",control-change,,,,,control-change
93,Double,Crush,Regular,Common,"Spend a double. This unit captures a target unit. At the start of your turn, this unit drains 1 power from target unit.",capture,drain,,,,"capture,drain"
94,Double,Crush,Regular,Common,"Spend a double. This unit is captured by a target unit. At the start of your turn, this unit drains 1 power from target unit.",capture,drain,,,,"capture,drain"
95,Double,Crush,Regular,Uncommon,"Spend a double. This unit captures a target unit. At the start of your turn, you may reduce target unit's power by 1 and set one 1 power typeless unit.",capture,power-loss,set-unit,,,"capture,power-loss,set-unit"
96,Double,Crush,Regular,Uncommon,"Spend a double. This unit is captured by a target unit. At the start of your turn, you may reduce target unit's power by 1 and set one 1 power typeless unit.",capture,power-loss,set-unit,,,"capture,power-loss,set-unit"
97,Double,Crush,Regular,Common,Spend a double. This unit is captured by a target unit. You may gain control of target unit during your battle phase.,capture,control-change,,,,"capture,control-change"
98,Double,Crush,Regular,Common,Spend a double. This unit captures a target unit. You may activate abilities with the target unit.,capture,copy,,,,"capture,copy"
99,Double,Crush,Regular,Common,Spend a double. This unit is captured by a target unit. You may activate abilities of the target unit.,capture,copy,,,,"capture,copy"
100,Double,Crush,Regular,Common,"Spend a double, spend 2 shield power. Deal 4 piercing damage to target unit.",sacrifice-shield,piercing,,,,"sacrifice-shield,piercing"
101,Triple,Crush,Regular,Common,Spend a triple. Destroy all units on the field.,destroy-unit,,,,,destroy-unit
102,Triple,Crush,Regular,Common,"Spend a triple. Each player who controls a unit with 4 or more power draws a die. Then, destroy all units.",draw,destroy-unit,,,,"draw,destroy-unit"
103,Triple,Crush,Regular,Uncommon,"Spend a triple. Set a field token with ""When a unit with this type enters the field, deal 2 damage to a target.""",set-field-token,on-type-enter,direct-damage,,,"set-field-token,on-type-enter,direct-damage"
104,Single,Stall,Regular,Common,Spend a single. Gain 2 shield power.,shield-gain,,,,,shield-gain
105,Single,Stall,Regular,Common,Spend a single. Gain shield power equal to the number of units you control.,shield-gain,,,,,shield-gain
106,Single,Stall,Regular,Common,Spend a single. Target unit cannot attack until end of turn.,cannot-battle,,,,,cannot-battle
107,Single,Stall,Regular,Common,Spend a single. Target unit is typeless until end of turn.,type-change,,,,,type-change
108,Single,Stall,Regular,Common,Spend a single. This unit captures a target unit.,capture,,,,,capture
109,Single,Stall,Regular,Common,Spend a single. This unit has deadly until end of turn.,deadly,,,,,deadly
110,Single,Stall,Regular,Common,"Spend a single, target a unit with 3 or less power. Return it to the owner's hand.",return-unit,on-power-condition,,,,"return-unit,on-power-condition"
111,Single,Stall,Regular,Common,"Spend a single, target a unit. Set an equip token with ""This unit can't battle until end of turn.""",set-equip-token,cannot-battle,,,,"set-equip-token,cannot-battle"
112,Single,Stall,Regular,Common,"Spend a single, target a unit. Set an equip token with ""This unit can't be targeted by abilities.""",set-equip-token,cannot-be-targeted,,,,"set-equip-token,cannot-be-targeted"
113,Single,Stall,Regular,Common,Spend a single. This unit is removed from the field until end of turn.,remove-unit,,,,,remove-unit
114,Other,Stall,Regular,Uncommon,Spend 2 shield power. Look at target player's hand and select 1 die from it to discard.,sacrifice-shield,view,discard,,,"sacrifice-shield,view,discard"
115,Trigger,Stall,Regular,Common,"When any unit battles, you may spend a single. Negate the battle.",on-battle,negate-battle,,,,"on-battle,negate-battle"
116,Trigger,Stall,Regular,Common,"When an ability is activated, you may spend a single. Negate the ability's effect.",on-ability-start,negate-ability,,,,"on-ability-start,negate-ability"
117,Trigger,Stall,Regular,Common,"When a unit is targeted for battle, you may spend a single. Select a new target for the battle.",on-targeted,retarget,,,,"on-targeted,retarget"
118,Trigger,Stall,Regular,Common,"After an ability is resolved, you may spend a single and activate that ability (including cost).",on-ability-end,copy,,,,"on-ability-end,copy"
119,Trigger,Stall,Regular,Uncommon,"When this unit is damaged, you may spend 2 shield power and negate the damage.",on-receive-damage,sacrifice-shield,negate-damage,,,"on-receive-damage,sacrifice-shield,negate-damage"
120,Trigger,Stall,Regular,Uncommon,"When this unit is damaged, banish 3 dice from your grave and negate the damage.",on-receive-damage,sacrifice-grave,negate-damage,,,"on-receive-damage,sacrifice-grave,negate-damage"
121,Single,Stall,Regular,Uncommon,"Spend a single, discard a die. This unit must have 2 or more power. All units with power equal to a multiple of this unit's power cannot battle until end of turn.",discard,cannot-battle,on-power-condition,,,"discard,cannot-battle,on-power-condition"
122,Single,Stall,Regular,Rare,"Spend a single, target a unit. Set an equip token with ""When this unit is damaged, destroy this token and negate the damage.""",set-equip-token,on-receive-damage,destroy-equip-token,negate-damage,,"set-equip-token,on-receive-damage,destroy-equip-token,negate-damage"
123,Double,Stall,Regular,Common,Spend a double. Look at target player's hand and select 1 die from it to discard.,view,discard,,,,"view,discard"
124,Double,Stall,Regular,Common,"Spend a double, target a unit you don't control. Return it to the unit's owner.",return-unit,,,,,return-unit
125,Double,Stall,Regular,Common,"Spend a double, target a unit. Set an equip token with ""This unit can't be destroyed by battle.""",set-equip-token,cannot-be-destroyed,,,,"set-equip-token,cannot-be-destroyed"
126,Trigger,Stall,Regular,Uncommon,"Instant. When a unit is targeted by an ability, you may spend a double. Select a new target for the ability.",on-targeted,retarget,instant,,,"on-targeted,retarget,instant"
127,Other,Stall,Ritual,Uncommon,"Ritual, discard 1. When this unit is destroyed, set one 2 power typeless unit.",discard,on-unit-destroyed,set-unit,,,"discard,on-unit-destroyed,set-unit"
128,Other,Stall,Ritual,Uncommon,"Ritual, discard 1. When this unit is destroyed, set two 1 power typeless units.",discard,on-unit-destroyed,set-unit,,,"discard,on-unit-destroyed,set-unit"
129,Other,Stall,Ritual,Uncommon,"Ritual, discard 1. When this unit is destroyed, set one 1 power unit with this type.",discard,on-unit-destroyed,set-unit,,,"discard,on-unit-destroyed,set-unit"
130,Other,Stall,Ritual,Uncommon,"Ritual, discard 1. When this unit enters the field, gain 2 shield power.",discard,on-set-unit,shield-gain,,,"discard,on-set-unit,shield-gain"
131,Other,Stall,Ritual,Common,"Ritual, discard 1. This unit has reinforce.",discard,reinforce,,,,"discard,reinforce"
132,Other,Stall,Ritual,Common,"Ritual, discard 1. This unit cannot be specifically targeted by abilities.",discard,cannot-be-targeted,,,,"discard,cannot-be-targeted"
133,Other,Stall,Ritual,Common,"Ritual, discard 1. All units with the same power as this unit cannot battle.",discard,cannot-battle,,,,"discard,cannot-battle"
134,Other,Stall,Regular,Common,Spend a double. Target player must discard their hand.,discard,,,,,discard
135,Triple,Stall,Regular,Common,"Spend a triple. Return all units to their owners, up to their hand limit.",return-unit,,,,,return-unit
136,Triple,Stall,Regular,Common,"Spend a triple. Set a field token with ""Units above 3 power cannot be set on the field.""",set-field-token,cannot-set-unit,,,,"set-field-token,cannot-set-unit"
137,Triple,Stall,Regular,Common,"Spend a triple. Set a field token with ""Units below 2 power cannot be set on the field.""",set-field-token,cannot-set-unit,,,,"set-field-token,cannot-set-unit"
138,Triple,Stall,Regular,Common,"Spend a triple. Set a field token with ""Units with this type cannot be targeted for battle or by abilities.""",set-field-token,cannot-be-targeted,,,,"set-field-token,cannot-be-targeted"
139,Triple,Stall,Regular,Uncommon,"Spend a triple. Set a field token with ""To declare battles during the battle phase, players must declare a Leader unit. This unit cannot battle and only units with power equal to or lower than it can battle until end of turn, except to defend.""",set-field-token,cannot-battle,on-power-condition,,,"set-field-token,cannot-battle,on-power-condition"
140,Triple,Stall,Regular,Uncommon,"Spend a triple. Set a field token with ""When a player charges, they target a unit they control. It has paralyzed until end of turn.""",set-field-token,cannot-charge,paralyzed,,,"set-field-token,cannot-charge,paralyzed"
141,Trigger,Build,Regular,Rare,"If this unit would battle a shield, discard 1. Negate the battle, target an energy token and gain control of it.",on-battle,discard,negate-battle,control-change,,"on-battle,discard,negate-battle,control-change"
142,Double,Build,Regular,Uncommon,"Spend a double, target a captive of a unit you control. Set one unit with power and type equal to the captive.",target-captive,set-unit,copy,,,"target-captive,set-unit,copy"
143,Double,Build,Regular,Uncommon,"Spend a double, target a captive of a unit you control. Set X 1 power typless units where X is the number of units you control. Sacrifice these units at the end of the turn.",target-captive,set-unit,sacrifice-unit,,,"target-captive,set-unit,sacrifice-unit"
144,Other,Stall,Relic,Common,Relic summon. Equip tokens with this type have indestructible.,indestructible,,,,,indestructible
145,Other,Build,Ritual,Common,"If you would deal 7 or more damage this turn, you may instant summon this unit.",on-deal-damage,set-unit,,,,"on-deal-damage,set-unit"
146,Other,Crush,Relic,Uncommon,"Relic summon. When this relic's unit battles, you may deal 5 damage divided among any number of targets. This relic's unit is destroyed after the battle phase.",on-battle,direct-damage,sacrifice-unit,,,"on-battle,direct-damage,sacrifice-unit"
147,Other,Stall,Realm,Common,Realm summon. Field tokens with this type are Indestructible.,indestructible,,,,,indestructible
148,Other,Stall,Realm,Uncommon,Realm summon. Units destroyed during the battle phase return to the field after the battle phase ends with their original power.,on-battle,set-unit,power-set,,,"on-battle,set-unit,power-set"
149,Other,Crush,Ritual,Uncommon,"Ritual, discard 1. When this unit damages an enemy during the battle phase, it gets +1 power.",discard,on-deal-damage,power-gain,,,"discard,on-deal-damage,power-gain"
150,Other,Build,Regular,Uncommon,"Once per turn, you may discard 1. This unit gets +2 power.",once-per-turn,discard,power-gain,,,"once-per-turn,discard,power-gain"
151,Other,Stall,Regular,Rare,"Once per turn, another player may sacrifice a unit they control. If they do, this unit cannot battle and gets +1 power.",once-per-turn,sacrifice-unit,cannot-battle,power-gain,,"once-per-turn,sacrifice-unit,cannot-battle,power-gain"
152,Other,Crush,Ritual,Common,"Ritual, discard 1. This unit has double-strike.",discard,double-strike,,,,"discard,double-strike"
153,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit is damaged during the battle phase, it gets +1 power.",discard,on-receive-damage,power-gain,,,"discard,on-receive-damage,power-gain"
154,Other,Build,Regular,Common,Reduce this unit's power by 2. This unit gets +4 power until end of turn.,sacrifice-power,power-gain,,,,"sacrifice-power,power-gain"
155,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit enters the field, it gets +2 power.",discard,on-set-unit,power-gain,,,"discard,on-set-unit,power-gain"
156,Double,Build,Regular,Rare,"Spend a double. Set a field token with ""At end of your turn, if you control no units with this type, deal 2 shield damage to yourself"". Set a 5 power unit with this type.",set-field-token,on-no-units,shield-loss,set-unit,,"set-field-token,on-no-units,shield-loss,set-unit"
157,Other,Build,Ritual,Rare,"Ritual, discard 2. When this unit enters the field, you may set three targets among any units or equip tokens. Reduce units by 1 power and destroy equip tokens.",discard,on-set-unit,power-loss,destroy-equip-token,,"discard,on-set-unit,power-loss,destroy-equip-token"
158,Double,Crush,Regular,Common,Spend a double. Destroy a target token.,destroy,,,,,destroy
159,Single,Crush,Regular,Common,"Spend a single, discard 1. Destroy a target token.",discard,destroy,,,,"discard,destroy"
160,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit deals damage during the battle phase, you may look a player's hand and choose a die. The player discards this die.",discard,on-deal-damage,view,,,"discard,on-deal-damage,view"
161,Other,Build,Ritual,Uncommon,"Ritual, discard 1. When this unit enters the field, you may a target a unit. The unit has paralyzed until the start of your next turn.",discard,on-set-unit,paralyzed,,,"discard,on-set-unit,paralyzed"
162,Double,Stall,Regular,Uncommon,"Spend a double. Set a field token with ""During the battle phase, you may discard X dice. Re-target the battles of X target units.""",set-field-token,discard,retarget,,,"set-field-token,discard,retarget"
163,Triple,Stall,Regular,Uncommon,"Spend a triple. Set a field token with ""To declare a unit for battle, players must discard a die.""",set-field-token,discard,cannot-battle,,,"set-field-token,discard,cannot-battle"
164,Triple,Crush,Regular,Common,"Spend a triple. Set a field token with ""Units without this type get -2 power during the battle phase.""",set-field-token,power-loss,,,,"set-field-token,power-loss"
165,Triple,Stall,Regular,Common,"Spend a triple. Set a field token with ""Abilities that target units you don't control are negated.""",set-field-token,negate-ability,,,,"set-field-token,negate-ability"
166,Other,Stall,Ritual,Uncommon,"Ritual, discard 2. When this unit enters the field, place a field token with ""During the battle phase you may re-target up to 4 damage among any battling units.""",discard,set-field-token,retarget,,,"discard,set-field-token,retarget"
167,Other,Build,Ritual,Rare,"Ritual, discard 3. After this unit is summoned, set among targets three equip tokens with ""Stackable. You may sacrifice this as an energy token of any value when activating abilities of this unit.""",discard,set-equip-token,stackable,sacrifice-equip,,"discard,set-equip-token,stackable,sacrifice-equip"
168,Double,Build,Regular,Common,Spend a double. You may summon an additional time this turn.,add-summon,,,,,add-summon
169,Double,Build,Regular,Common,Spend a double. Set one 4 power typeless unit. Destroy set unit at end of turn.,set-unit,sacrifice-unit,,,,"set-unit,sacrifice-unit"
170,Double,Crush,Regular,Common,Spend a double. This unit has double-strike until end of turn.,double-strike,,,,,double-strike
171,Single,Stall,Regular,Common,"Instant, spend a single. This unit is removed from the field until end of turn.",instant,remove-unit,,,,"instant,remove-unit"
172,Other,Crush,Ritual,Common,"Ritual, discard 1. This unit has unblockable.",discard,unblockable,,,,"discard,unblockable"
173,Other,Build,Ritual,Rare,"Ritual, discard 2. When this unit is summoned, set among target units three equip tokens with ""At the end of controller's turn, reduce this token's unit by 1 power. The controller may sacrifice this token, then a target opponent gets +1 shield power.""",discard,set-equip-token,power-loss,sacrifice-equip,shield-gain,"discard,set-equip-token,power-loss,sacrifice-equip,shield-gain"
174,Single,Build,Regular,Rare,"Spend a single. Set an equip token with ""At the end of controller's turn, reduce this token's unit by 1 power. The controller may sacrifice this token, then a target an opponent gets +1 shield power.""",set-equip-token,power-loss,sacrifice-equip,shield-gain,,"set-equip-token,power-loss,sacrifice-equip,shield-gain"
175,Other,Build,Regular,Common,Spend 2 shield power. This unit gets +2 power.,sacrifice-shield,power-gain,,,,"sacrifice-shield,power-gain"
176,Double,Crush,Regular,Uncommon,"Spend a double. Set on this unit an equip token with ""This unit gets +2 power and haste.""",set-equip-token,power-gain,haste,,,"set-equip-token,power-gain,haste"
177,Single,Stall,Regular,Uncommon,"Spend a single. Set on this unit an equip token with ""Unit gets +2 power when defending.""",set-equip-token,power-gain,on-battle,,,"set-equip-token,power-gain,on-battle"
178,Double,Crush,Regular,Common,Spend a double. Deal 4 direct damage to target.,direct-damage,,,,,direct-damage
179,Other,Crush,Relic,Common,Relic summon. This unit has haste.,haste,,,,,haste
180,Other,Crush,Regular,Common,Sacrifice a unit you control. Deal X direct damage to a target where X is the sacrifice's power.,sacrifice-unit,direct-damage,,,,"sacrifice-unit,direct-damage"
181,Other,Crush,Regular,Common,"Banish X grave dice. For each 2 dice discarded this way, deal 2 direct damage among any target units.",sacrifice-grave,direct-damage,,,,"sacrifice-grave,direct-damage"
182,Other,Crush,Ritual,Uncommon,"Ritual, discard hand. When an opponent controls no units on their side of the field, this unit deals double damage.",discard,on-no-units,double-damage,,,"discard,on-no-units,double-damage"
183,Other,Crush,Regular,Common,"Spend X energy tokens. For each token spent, deal 2 direct damage among any target units..",direct-damage,,,,,direct-damage
184,Other,Crush,Regular,Common,"Discard your hand. For every 2 dice discarded this way, deal 2 direct damage among any target units.",discard,direct-damage,,,,"discard,direct-damage"
